title,year,genre,plot
Odwrócona wieża,2022,"Drama, Thriller","Thriller ""Tagurpidi torn"" tells the story of a group of children spending their summer in a sleepy hamlet, where their only entertainment is simply hanging around and climbing in an abandoned manufacturing facility, until they are forbidden to do that. The gang's boss Kristjan and his friends Ariel, Loore, Mia-Margot and Siim decide to ignore the ban. This decision changes their lives and friends face a grim confrontation. They need to answer the question - what is right and what is wrong?"
Gekido,2022,Thriller,
Hocus Pocus 2,2022,"Comedy, Family, Fantasy",Two young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world.
One Last Composition,2022,Biography,Biopic of a composer who finished his one last composition beyond the realms of life.
Chicken Strips: The Trials and Tribulations of Becoming a Garage Band,2022,"Comedy, Music, Romance","When childhood best friends, Kyle, Steven, and Ruben are forced to perform in a music festival, conflicting priorities and visitors from the boys' past push their friendship to the breaking point."
Ljuba,2022,Documentary,
Zebun,2022,"Horror, Thriller","Kenan is a successful business person. Kenan, who lives a happy life with his wife Esma and his little daughter, witnesses some oddities when he returns from a business trip he goes to. Unable to make sense of what happened, Kenan attributes his experience to the workload."
Contando ovejas,2022,"Adventure, Comedy, Crime","Ernesto is a lonely boy, undervalued by the people around him, especially by his neighbor Leandro, a dangerous drug dealer."
Mahlûkat,2022,Horror,"This new film by Alper Mestçi, who is known for his movies ""Siccin"" and ""Musallat"", is about a real scary case in the Mardin, a Southeastern Anatolian city in Turkey."
Observers,2022,"Horror, Sci-Fi","After witnessing a disturbing occult ritual via the dark web, college student Riley Shepard believes he is being monitored by the same mysterious cult."
Alcarrás,2022,"Adventure, Drama","The life of a family of peach farmers in a small village in Catalonia changes when the owner of their large estate dies and his lifetime heir decides to sell the land, suddenly threatening their livelihood."
Badhaai Do,2022,"Comedy, Crime, Drama, Romance",Shardul Thakur Flaglot and Suman Singh enter into a marriage of convenience but chaos ensues when her unhinged girlfriend comes to stay with them.
El fred que crema,2022,"Adventure, Drama, Thriller, War","Explores a little-known aspect of the World War II Jewish diaspora: the escape of Jews through Andorra, a micro sovereign country in the Pyrenees mountain range of the Iberian Peninsula."
Salgueiro Maia - O Implicado,2022,"Biography, Drama","The storie of a true Portuguese hero. For himself he asked nothing, for the country all."
Entropy,2022,"Drama, Horror, Mystery","On the day Abbey is diagnosed with ovarian cancer, she and her girlfriend, Miranda, are invited to dinner with Miranda''s former self-help group to celebrate the return of her friend Scott."
Ek Villain Returns,2022,"Action, Crime, Romance, Thriller",The story of two men in one sided love. The paths they choose to fulfill their love stories decide who the Hero is and who is the Villain.
Hey Sinamika,2022,"Drama, Romance","The lives of Mouna, a weather scientist who falls in love with Yaazhan, a quirky and loving guy. What happens to their relationship after a couple of years and how things take an unexpected turn after the arrival of Malarvizhi?"
Пасхальное воскресенье,2022,Comedy,"Set around a family gathering to celebrate Easter Sunday, the comedy is based on Jo Koy's life experiences and stand-up comedy."
Aferzysci. Zle psy,2022,"Action, Crime, Drama","After the departure of the head of Mafia , Ivan and the murder of the Commander, Marek Kutnowski, a policeman arrives on a call to the capital. Kutnowski's task is stop the activities of criminal groups in Warsaw."
Paragate,2022,Drama,
Relative,2022,"Comedy, Drama, Romance","As various members of the Frank family come together for a college graduation party in Chicago, they find their bonds being tested, and strengthened, in surprising ways."
Sam,2022,Drama,
Veden vartija,2022,"Sci-Fi, Thriller","In this dystopian literary adaptation, a courageous young woman fights for fresh water in the Scandinavian Union, an area that has dried up due to environmental disaster and a repressive military government."
Vengeance,2022,"Comedy, Mystery, Thriller",A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.
The Huntress of Auschwitz,2022,"Horror, Thriller, War",A young American girl travels to Europe to track down the Nazi guard responsible for the murder of her great-grandparents.
Philly Christmas,2022,"Adventure, Family","On Christmas Eve, A rebellious teen takes a treacherous journey to learn the meaning of Christmas - sacrifice and true love."
Neon Spring,2022,Drama,"As her family is falling apart, twenty-year-old Laine gets introduced to Riga's underground raves where she experiences love and slowly begins to lose connection with reality."
Man,2022,Thriller,"Tortured by his inability to feel emotional or physical pain, a man finds murder to be his only respite - until he meets a lonely woman whose compassion awakens something inside."
Doppelte Rückzahlung,2022,"Action, Comedy",
ShadowMarsh,2022,"Drama, Horror, Mystery, Thriller","When Jacob and his niece Piper are forced to move back to their old home, they slowly uncover the truth that the town has an ancient evil lurking in its Forest."
Violent Night,2022,"Action, Comedy, Crime, Fantasy, Thriller","When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas)."
Awaken,2022,Thriller,"A wealthy businessman deals with the loss of his only child, unraveling the events that led to her death."
Watcher,2022,"Drama, Horror, Thriller","A young American woman moves with her husband to Bucharest, and begins to suspect that a stranger who watches her from the apartment building across the street may be a local serial killer decapitating women."
The Millennial Fish,2022,Adventure,"Following the death of a family member two best friends embark on a trip into the wilderness, hoping to find a purpose beyond themselves."
The Flash,2023,"Action, Adventure, Fantasy, Sci-Fi","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
